,zip,year,type,count,efficiency
538,10013,2012,Traffic related,466,3.5594420600858347
539,10013,2013,Disturbance,4,2.35
540,10013,2013,Miscellaneous,26,4.242307692307692
541,10013,2013,Noise,1175,3.4595744680851035
542,10013,2013,Street condition related,64,5.9578125
543,10013,2013,Traffic related,475,3.772631578947367
544,10013,2014,Disturbance,5,6.9
545,10013,2014,Miscellaneous,38,5.739473684210526
546,10013,2014,Noise,1089,4.393755739210279
547,10013,2014,Street condition related,78,4.987179487179489
548,10013,2014,Traffic related,511,4.066731898238747
549,10013,2015,Disturbance,5,3.6
550,10013,2015,Miscellaneous,62,4.270967741935484
551,10013,2015,Noise,1395,4.751899641577067
552,10013,2015,Street condition related,100,5.430000000000002
553,10013,2015,Traffic related,546,4.639926739926742
554,10013,2016,Disturbance,10,9.069999999999999
555,10013,2016,Miscellaneous,71,6.0197183098591545
556,10013,2016,Noise,1683,5.046048722519313
557,10013,2016,Street condition related,95,6.026315789473683
558,10013,2016,Traffic related,893,4.835386338185891
559,10013,2017,Disturbance,18,5.122222222222222
560,10013,2017,Miscellaneous,59,6.050847457627121
561,10013,2017,Noise,2814,3.8454513148543246
562,10013,2017,Street condition related,82,6.645121951219512
563,10013,2017,Traffic related,1094,4.253656307129799
564,10013,2018,Disturbance,5,5.279999999999999
565,10013,2018,Miscellaneous,43,5.974418604651164
566,10013,2018,Noise,1740,4.845804597701144
567,10013,2018,Street condition related,70,5.251428571428571
568,10013,2018,Traffic related,947,5.549208025343187
569,10014,2010,0,1,14.9
570,10014,2010,Disturbance,3,4.166666666666667
571,10014,2010,Miscellaneous,4,4.675
572,10014,2010,Noise,320,5.792812500000004
573,10014,2010,Street condition related,12,6.8500000000000005
574,10014,2010,Traffic related,72,5.24722222222222
575,10014,2011,Disturbance,12,6.508333333333333
576,10014,2011,Miscellaneous,18,4.0555555555555545
577,10014,2011,Noise,1504,5.690359042553197
578,10014,2011,Street condition related,65,8.881538461538463
579,10014,2011,Traffic related,251,6.671713147410355
580,10014,2012,Disturbance,15,8.506666666666668
581,10014,2012,Miscellaneous,22,6.95
582,10014,2012,Noise,1328,5.59269578313254
583,10014,2012,Street condition related,53,6.305660377358491
584,10014,2012,Traffic related,230,6.816956521739126
585,10014,2013,Disturbance,6,1.6333333333333335
586,10014,2013,Miscellaneous,28,6.517857142857145
587,10014,2013,Noise,1607,6.200746733042936
588,10014,2013,Street condition related,48,8.90625
