zip,year,count,process_time
11104,2011,898,5.457906459
11104,2012,860,7.450697674
11104,2013,1067,6.919400187
11104,2014,1327,8.984853052
11104,2015,2014,10.14424032
11104,2016,1870,11.12700535
11104,2017,2078,10.11982676
11104,2018,1685,11.01198813
11105,2010,326,5.452147239
11105,2011,1267,5.78468824
11105,2012,1155,5.606233766
11105,2013,1530,6.350065359
11105,2014,1889,6.274748544
11105,2015,2331,8.326254826
11105,2016,2452,9.308238173
11105,2017,3214,6.920379589
11105,2018,2817,8.438196663
11106,2010,578,5.479411765
11106,2011,1560,5.699935897
11106,2012,1815,6.147823691
11106,2013,2297,6.152677405
11106,2014,2906,6.264177564
11106,2015,3322,8.291902468
11106,2016,3804,9.295399579
11106,2017,4153,7.149602697
11106,2018,3415,7.981259151
11109,2010,1,1.7
11109,2011,35,5.225714286
11109,2012,28,5.996428571
